Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
MLI,Mueller Industries,23.58,1.54,+6.99%,23.58,21.43,569900,03/13/20,Industrials
MMI,Marcus & Millichap,27.65,2.25,+8.86%,27.65,25.56,193300,03/13/20,Real Estate
MMSI,Merit Medical Sys,33.71,3.0,+9.77%,33.76,29.38,695500,03/13/20,Healthcare
MNRO,Monro Muffler Brak,50.14,4.38,+9.57%,50.24,44.47,570500,03/13/20,Consumer Cyclical
MNTA,Momenta Pharma,28.65,4.32,+17.76%,28.72,23.89,1401500,03/13/20,Healthcare
MOG.A,Moog Inc Cl A,51.36,1.9,+3.84%,51.6,47.32,502200,03/13/20,Industrial Goods
MOV,Movado Group Inc,12.68,1.03,+8.84%,12.68,11.35,302600,03/13/20,Consumer Cyclical
MPAA,Motorcar Parts Amer,15.16,0.92,+6.46%,15.35,14.03,179800,03/13/20,Consumer Cyclical
MRTN,Marten Transport L,17.94,0.84,+4.91%,18.68,17.12,423400,03/13/20,Industrials
MSTR,Microstrategy Cl A,111.33,2.8,+2.58%,113.7,106.27,149600,03/13/20,Technology
MTH,Meritage Corp,46.82,2.14,+4.79%,47.82,41.14,927100,03/13/20,Consumer Cyclical
MTOR,Meritor Inc,17.41,0.83,+5.01%,17.71,15.78,1609700,03/13/20,Consumer Cyclical
MTRN,Materion Corp,37.88,2.95,+8.45%,37.9,34.69,279200,03/13/20,Basic Materials
MTRX,Matrix Service Company,11.46,1.4,+13.92%,11.48,10.68,343400,03/13/20,Energy
MTSC,M T S Systems Cp,25.17,1.94,+8.35%,25.33,22.92,321500,03/13/20,Technology
MXL,Maxlinear Inc,11.65,0.96,+8.98%,11.65,10.07,685000,03/13/20,Technology
MYE,Myers Industries,12.24,0.64,+5.52%,12.38,11.31,268500,03/13/20,Consumer Cyclical
MYGN,Myriad Genetics Inc,13.3,0.76,+6.06%,13.33,11.52,1539300,03/13/20,Healthcare
MYRG,MYR Group Inc,23.39,3.13,+15.45%,23.39,20.63,114000,03/13/20,Industrials
NBHC,National Bank Holdings Corp,25.48,2.45,+10.64%,25.57,23.39,216400,03/13/20,Financial Services
NBR,Nabors Industries,0.37,0.05,+15.63%,0.39,0.33,10795900,03/13/20,Energy
NBTB,NBT Bancorp Inc,31.23,3.21,+11.46%,31.25,28.85,308500,03/13/20,Financial Services
NE,Noble Corp,0.28,0.05,+18.75%,0.28,0.22,4501100,03/13/20,Energy
NEO,Neogenomics Inc,25.64,1.7,+7.10%,25.65,23.13,1244300,03/13/20,Healthcare
NEOG,Neogen Cp,63.08,6.96,+12.40%,63.81,55.08,374800,03/13/20,Healthcare
NFBK,Northfield Bncrp Del,12.14,0.63,+5.47%,12.22,11.55,294500,03/13/20,Financial Services
NMIH,Nmi Holdings Inc,19.1,-0.49,-2.50%,20.85,18.01,935200,03/13/20,Financial Services
NP,Neenah Paper,43.23,0.91,+2.15%,44.52,41.18,348400,03/13/20,Basic Materials
NPK,National Presto Industries,79.1,6.6,+9.10%,79.21,73.39,84100,03/13/20,Industrials
NPO,Enpro Industries,47.13,6.62,+16.34%,47.13,40.21,174900,03/13/20,Industrials
NR,Newpark Resources,1.25,0.04,+3.31%,1.26,1.12,1913700,03/13/20,Energy
NSA,National Storage Affiliates Tru,30.37,0.44,+1.47%,32.3,28.54,748800,03/13/20,Real Estate
NSIT,Insight Enterpr,41.07,2.11,+5.42%,41.72,39.29,595600,03/13/20,Technology
NTGR,Netgear Inc,18.62,0.47,+2.59%,19.07,17.4,642800,03/13/20,Technology
NTUS,Natus Medical Inc,24.1,1.61,+7.16%,24.5,22.27,394200,03/13/20,Healthcare
NWBI,Northwest Bancshares,11.63,0.64,+5.82%,11.77,10.9,967100,03/13/20,Financial Services
NWN,Northwest Natural Gas Company,58.14,4.91,+9.22%,58.14,53.4,346300,03/13/20,Utilities
NX,Quanex Building Products Corp,12.72,-0.12,-0.93%,13.69,12.04,372800,03/13/20,Industrials
NXGN,Nextgen Healthcare Inc,9.62,0.61,+6.77%,9.66,8.33,788600,03/13/20,Healthcare
NXRT,Nexpoint Residential Trust Inc,39.06,5.39,+16.01%,39.06,33.04,469300,03/13/20,Real Estate
